property_id,county,tax_amount_usd,tax_value_usd,tax_rate
1076450,Los Angeles,5823.8,389491.0,0.01495233522725814
1378865,Los Angeles,1918.09,130845.0,0.01465925331499102
1378732,Los Angeles,690.45,47792.0,0.014446978573819887
1378703,Los Angeles,312.96,20039.0,0.015617545785717848
1378611,Los Angeles,3634.29,290000.0,0.01253203448275862
1378282,Los Angeles,6955.86,598630.0,0.011619631491906519
1377977,Los Angeles,8076.85,670949.0,0.012037949233101175
1377946,Los Angeles,18895.77,1555152.0,0.01215043288373098
1377655,Los Angeles,8655.68,717618.0,0.012061681841871303
1377524,Los Angeles,1070.89,66228.0,0.01616974693483119
1378914,Los Angeles,965.84,38883.0,0.02483964714656791
1377503,Los Angeles,5420.08,447299.0,0.01211735326928967
1377447,Los Angeles,3245.61,258183.0,0.012570967104728043
1377418,Los Angeles,18688.36,1605077.0,0.011643279418993607
1377395,Los Angeles,3720.74,302408.0,0.012303708896590037
1377290,Los Angeles,1263.92,79057.0,0.015987452091528898
1377272,Los Angeles,7706.92,603253.0,0.012775601613253477
1377252,Los Angeles,4393.7,317908.0,0.013820665098078689
1377016,Los Angeles,6427.82,528450.0,0.012163534866117891
1376947,Los Angeles,1779.67,135284.0,0.01315506637887703
1376455,Los Angeles,13139.6,1087820.0,0.012078836572227023
1377453,Los Angeles,5344.3,455187.0,0.011740888909393283
1376297,Los Angeles,6414.41,549737.0,0.01166814313026047
1379009,Los Angeles,2430.32,164190.0,0.01480187587551008
1379204,Los Angeles,3247.07,246689.0,0.013162605547876072
1381182,Los Angeles,1535.78,108472.0,0.014158308134818201
1381094,Los Angeles,3808.55,287869.0,0.013230149825094054
1381045,Los Angeles,866.23,44264.0,0.019569627688414967
1381034,Los Angeles,3272.31,247953.0,0.013197299488209458
1380943,Los Angeles,2677.07,193807.0,0.013813071767273628
1380940,Los Angeles,1421.54,91080.0,0.015607597716293367
1380826,Los Angeles,11358.78,993606.0,0.011431875411380367
1380725,Los Angeles,10439.13,821706.0,0.012704215376302471
1380623,Los Angeles,8195.82,727270.0,0.01126929475985535
1379034,Los Angeles,6237.62,350000.0,0.01782177142857143
1380444,Los Angeles,3270.96,265150.0,0.012336262492928532
1379945,Los Angeles,4134.12,337305.0,0.012256325877173478
1379678,Los Angeles,1733.18,122415.0,0.014158232242780705
1379673,Los Angeles,1179.24,83434.0,0.014133806361914808
1379489,Los Angeles,4119.02,327118.0,0.01259184759016624
